#{"t_start": 1733084376.335306, "env_id": "BattleshipEnvSD-v0"}
r,l,t
-364.2,472,0.2593
-177.9,283,0.33389
-188.0,294,0.411476
-197.9,303,0.490446
-434.3,543,0.634293
-172.8,277,1.223536
-74.4,166,1.266705
-186.9,292,1.341078
-177.0,283,1.414826
-306.3,415,1.521944
-131.4,232,1.59365
-146.4,247,1.707941
-284.3,393,2.776083
-126.1,224,2.896038
-213.8,318,3.039792
-112.3,212,3.111206
-384.3,493,3.258786
-148.6,251,3.330507
-261.2,369,3.432658
-222.9,328,4.233191
-304.0,410,4.375812
-363.2,471,4.505726
-226.8,331,4.591685
-242.9,348,4.682192
-243.0,349,5.346467
-160.5,262,5.454743
-184.5,286,5.56352
-349.0,455,5.69055
-274.9,380,5.78884
-241.1,348,5.883183
-160.7,264,6.510225
-170.0,276,6.628627
-83.3,183,6.703206
-136.6,239,6.779377
-293.1,400,6.886444
-309.1,416,6.993647
-193.9,299,7.071873
-131.5,233,7.672305
-285.0,391,7.821713
-157.7,261,7.927706
-457.2,565,8.092053
-513.3,622,8.254507
-592.3,701,9.094356
-212.6,315,9.189962
-186.7,290,9.265291
-296.1,403,9.425094
-156.8,261,9.493187
-144.8,249,10.34512
-236.9,342,10.508273
-153.6,256,10.613515
-455.3,564,10.815897
-93.6,187,10.872762
-411.0,517,11.01409
-259.7,363,12.042042
-309.9,415,12.231111
-181.6,284,12.321554
-495.3,604,12.484031
-369.3,478,12.618833
-90.4,182,13.502583
-118.8,214,13.581193
-233.0,339,13.700043
-291.2,399,13.811106
-399.2,507,13.943038
-768.3,877,14.780197
-158.5,260,14.87806
-330.1,437,15.000847
-138.0,235,15.061686
-76.9,173,15.106702
-149.6,252,15.172225
-248.1,355,15.812288
-199.9,305,15.945097
-660.2,768,16.182162
-234.2,342,16.271639
-112.2,211,16.326812
-432.0,538,17.035326
-83.0,180,17.108724
-85.6,179,17.184925
-497.3,606,17.363258
-311.1,418,17.528096
-335.2,443,17.644283
-221.2,329,18.373573
-290.1,397,18.515967
-198.0,304,18.602316
-305.0,411,18.710783
-377.3,486,18.835049
-842.3,951,20.261458
-217.8,322,20.36131
-457.2,565,20.659329
-397.3,506,22.178738
-471.2,579,22.44435
-277.2,385,22.546044
-313.2,421,22.655605
-268.0,374,22.752228
-281.9,387,23.842954
-513.2,621,24.07624
-243.1,350,24.17549
-346.0,452,24.293037
-193.0,299,24.368505
-123.0,220,25.062071
-121.2,220,25.147959
-349.9,455,25.354624
-169.6,272,25.442208
-237.0,343,25.552597
-206.8,311,25.652671
-467.3,576,26.704959
-108.1,206,26.775668
-246.1,353,26.886631
-108.9,205,26.94349
-358.2,466,27.057895
-330.2,438,27.171476
-355.3,464,27.939503
-160.8,265,28.044124
-202.9,308,28.13319
-167.7,271,28.203632
-352.0,458,28.322015
-233.8,338,28.409925
-113.6,207,29.094666
-402.1,509,29.284161
-136.6,230,29.349799
-215.7,319,29.432058
-532.2,640,29.602933
-139.7,243,30.212352
-570.3,679,30.477652
-367.3,476,30.603596
-243.6,346,30.692054
-227.6,330,30.835163
-510.2,618,32.446519
-111.1,209,32.590263
-271.8,376,32.71816
-182.7,286,32.830137
-704.3,813,33.884235
-334.0,440,34.052509
-550.3,659,34.236771
-400.1,507,34.368692
-401.3,510,35.133958
-210.0,316,35.268886
-175.5,277,35.363464
-331.1,438,35.481192
-243.3,343,35.569519
-410.2,518,35.703222
-230.0,336,36.754934
-830.3,939,37.137434
-174.8,279,37.218293
-158.4,259,37.293495
-268.1,375,38.231051
-261.8,366,38.363562
-183.7,287,38.453289
-270.0,376,38.578787
-482.1,589,38.728738
-251.9,357,39.411274
-271.0,377,39.55935
-201.4,302,39.657592
-282.9,388,39.757841
-71.3,162,39.798446
-263.9,369,39.889936
-259.8,364,39.979986
-638.3,747,40.760324
-215.8,320,40.851741
-271.7,375,40.944153
-426.0,532,41.075059
-562.0,668,41.840167
-132.1,230,41.911149
-113.4,205,41.966809
-225.7,329,42.049791
-181.4,282,42.120919
-316.9,422,42.227566
-862.3,971,43.139372
-459.9,565,43.284004
-205.4,306,43.362702
-349.1,456,44.012921
-46.6,131,44.063076
-629.3,738,44.296366
-227.5,329,44.379271
-167.6,270,44.451127
-404.3,513,45.124294
-383.3,492,45.311045
-72.8,159,45.357682
-100.6,194,45.409286
-163.3,263,45.476074
-423.2,531,45.610399
-1001.3,1110,46.460501
-599.3,708,46.648436
-481.0,587,47.338063
-189.6,292,47.465404
-979.3,1088,47.774591
-457.2,565,48.446342
-693.3,802,48.7579
-827.2,935,49.002253
-722.3,831,49.758231
-210.5,312,49.870149
-211.0,317,49.959698
-727.3,836,50.169437
-742.3,851,50.989253
-587.1,694,51.170258
-206.3,306,51.24775
-531.2,639,51.943421
-356.2,464,52.115664
-435.0,541,52.257878
-228.8,333,52.342893
-201.2,300,52.419174
-188.2,287,53.038019
-753.2,861,53.319642
-331.1,438,53.429767
-742.3,851,54.212329
-50.0,138,54.277424
-308.1,415,54.415757
-427.2,535,54.554646
-263.1,370,54.649839
-227.6,330,55.314393
-186.6,289,55.428121
-153.0,250,55.514821
-701.3,810,55.725209
-432.1,539,55.863666
-254.8,359,57.24741
-447.2,555,57.465233
-464.1,571,57.627214
-259.5,361,57.721462
-262.6,365,58.53816
-172.4,273,58.653345
-178.6,281,58.748248
-768.3,877,58.980314
-75.3,166,59.022651
-292.8,397,59.836145
-551.3,660,60.080641
-215.6,318,60.166435
-436.1,543,60.308783
-403.1,510,61.256952
-213.7,317,61.390973
-121.3,221,61.473809
-364.2,472,61.603914
-798.3,907,61.83724
-246.9,352,62.51555
-124.1,222,62.618369
-170.1,268,62.70406
-672.3,781,62.912468
-557.3,666,63.801231
-416.9,522,63.986396
-185.7,289,64.066885
-662.1,769,64.257068
-222.4,323,64.339938
.852947
-227.6,330,92.517482
-186.6,289,92.631226
-153.0,250,92.717934
-701.3,810,92.928319
-432.1,539,93.066775
-254.8,359,94.45045
-447.2,555,94.668337
-464.1,571,94.830321
-259.5,361,94.924569
-262.6,365,95.74126
-172.4,273,95.85644
-178.6,281,95.951356
-768.3,877,96.183407
-75.3,166,96.225765
-292.8,397,97.039234
-551.3,660,97.283741
-215.6,318,97.369538
-436.1,543,97.511888
-403.1,510,98.46004
-213.7,317,98.594071
-121.3,221,98.676914
-364.2,472,98.807022
-798.3,907,99.040347
-246.9,352,99.718635
-124.1,222,99.82147
-170.1,268,99.907167
-672.3,781,100.115573
-557.3,666,101.004323
-416.9,522,101.189499
-185.7,289,101.27
-662.1,769,101.460174
-222.4,323,101.543044
1,293.742633
-50.0,138,293.807786
-308.1,415,293.946161
-427.2,535,294.085054
-263.1,370,294.180206
-227.6,330,294.844657
-186.6,289,294.958501
-153.0,250,295.045226
-701.3,810,295.255593
-432.1,539,295.394057
-254.8,359,296.777625
-447.2,555,296.995576
-464.1,571,297.15757
-259.5,361,297.251835
-262.6,365,298.068512
-172.4,273,298.183686
-178.6,281,298.278623
-768.3,877,298.510588
-75.3,166,298.55305
-292.8,397,299.366406
-551.3,660,299.610974
-215.6,318,299.695738
-436.1,543,299.839128
-403.1,510,300.787234
-213.7,317,300.9213
-121.3,221,301.004166
-364.2,472,301.134286
-798.3,907,301.3676
-246.9,352,302.045848
-124.1,222,302.148723
-170.1,268,302.234434
-672.3,781,302.442838
-557.3,666,303.331536
-416.9,522,303.516746
-185.7,289,303.597293
-662.1,769,303.787419
-222.4,323,303.870286
